Enhet	ResourceCategoryId 	Supabase link
Chalet Strandafjellet	a0b4d9a2-266c-40af-b4ba-b15a007ef02f	https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/chalet%20strandafjellet.jpg
Chalet Strandafjellet		https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/chalet%20strandafjellet%201.jpg
Chalet Strandafjellet		https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/chalet%20strandafjellet%202.jpg
Chalet Strandafjellet		https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/chalet%20strandafjellet%203.jpg
Chalet Strandafjellet		https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/chalet%20strandafjellet%204.jpg
Chalet Strandafjellet		https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/chalet%20strandafjellet%205.jpg
Chalet Strandafjellet		https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/chalet%20strandafjellet%206.jpg
Chalet Strandafjellet		https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/chalet%20strandafjellet%207.jpg
Chalet Strandafjellet		https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/chalet%20strandafjellet%208.jpg
Chalet Strandafjellet		https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/chalet%20strandafjellet%209.jpg
Chalet Strandafjellet		https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/chalet%20strandafjellet%2010.jpg
Chalet Strandafjellet		https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/chalet%20strandafjellet%2011.jpg
Chalet Strandafjellet		https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/chalet%20strandafjellet%2012.jpg
Chalet Strandafjellet		https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/chalet%20strandafjellet%2013.jpg
Chalet Strandafjellet		https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/chalet%20strandafjellet%2014.jpg
Chalet Strandafjellet		https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/chalet%20strandafjellet%2015.jpg
Strandafjellet Mountain Logde 	2f1beca3-adb9-47ae-aa85-b15a007ef02f	https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/Mountain-Lodge-Strandafjellet.jpg
Strandafjellet Mountain Logde 		https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/Mountain-Lodge-Strandafjellet1.jpg
Fjord Panorama	07698215-18e7-454d-b4cf-b15a007ef02f	https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/Fjord%20Panorama.jpg
Fjord Panorama		https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/Fjord%20Panorama%201.jpg
Fjord Panorama		https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/Fjord%20Panorama%202.jpg
Fjord Panorama		https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/Fjord%20Panorama%203.jpg
Fjord Panorama		https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/Fjord%20Panorama%204.jpg
Fjord Panorama		https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/Fjord%20Panorama%205.jpg
Fjord Panorama		https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/Fjord%20Panorama%206.jpg
Fjord Panorama		https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/Fjord%20Panorama%207.jpg
Fjord Panorama		https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/Fjord%20Panorama%208.jpg
Fjord Panorama		https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/Fjord%20Panorama%209.jpg
Rorbu	34993a51-69ec-469e-bb25-b1950040d184	https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/Rorbu.jpg
Rorbu		https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/Rorbu%201.jpg
Rorbu		https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/Rorbu%202.jpg
Rorbu		https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/Rorbu%203.jpg
Rorbu		https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/Rorbu%204.jpg
Rorbu		https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/Rorbu%205.jpg
Rorbu		https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/Rorbu%206.jpg
Rorbu		https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/Rorbu%207.jpg
Rorbu		https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/Rorbu.jpg
Riverside	4d9807a9-8542-4116-ae06-b15a007ef02f	https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/riverside.jpg
Mountain View Logde	6fdf8c50-f57c-49de-afc1-b2b300e88a09	https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/Mountain%20View%20Logde.jpg
Mountain View Logde		https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/mountain%20View%20Logde%201.png
Mountain View Logde		https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/mountain%20View%20Logde%202.png
Koie Deluxe I 	51cff127-0eb2-4e59-bdaf-b16e0144b672	https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/Koie%20Deluxe%20I.jpg
Koie Deluxe I 		https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/Koie%20deluxe%201.jpg
Koie Deluxe I 		https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/Koie%20Deluxe%202.jpg
Koie Deluxe I 		https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/Koie%20Deluxe%203.jpg
Koie Deluxe I 		https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/Koie%20Deluxe%204.jpg
Koie Deluxe I 		https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/Koie%20Deluxe%205.jpg
Koie Deluxe I 		https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/Koie%20Deluxe%206.jpg
Koie Deluxe I 		https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/Koie%20Deluxe%207.jpg
Koie Deluxe II	acc74eff-22fc-4f37-9dd6-b15a007ef02f	https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/Koie%20deluxe%20II.jpg
Koie Deluxe II		https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/Koie%20Deluxe%20II%200.jpg
Koie Deluxe II		https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/Koie%20Deluxe%20II%201.jpg
Koie Deluxe II		https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/Koie%20Deluxe%20II%202.jpg
Koie Deluxe II		https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/Koie%20Deluxe%20II%203.jpg
Koie Deluxe II		https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/Koie%20Deluxe%20II%204.jpg
Koie Deluxe II		https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/Koie%20Deluxe%20II%205.jpg
Koie Deluxe II		https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/Koie%20Deluxe%20II%206.jpg
Sjåfram	4e690c24-dcd4-4fc7-b672-b15a007ef02f	https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/Sjaafram.jpg
Sjåfram		https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/Sjaafram%201.jpg
Sjåfram		https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/Sjaafram%202.jpg
Sjåfram		https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/Sjaafram%203.jpg
Sjåfram		https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/Sjaafram%204.jpg
Sjåfram		https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/Sjaafram%205.jpg
Sjåfram		https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/Sjaafram%206.jpg
Sjåfram		https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/Sjaafram%207.jpg
Sjåfram		https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/Sjaafram%208.jpg
Sjåfram		https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/Sjaafram%209.jpg
Tiny Mountain Cabin II	3a0f4243-1775-4990-874f-b1950043000f	https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/Tiny%20Mountain%20Cabin%20II%201.jpg
Tiny Mountain Cabin II		https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/Tiny%20Mountain%20Cabin%20II%202.jpg
Tiny Mountain Cabin II		https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/Tiny%20Mountain%20Cabin%20II%203.jpg
Tiny Mountain Cabin II		https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/Tiny%20Mountain%20Cabin%20II%204.jpg
Tiny Mountain Cabin II		https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/Tiny%20Mountain%20Cabin%20II%205.jpg
Tiny Mountain Cabin II		https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/Tiny%20Mountain%20Cabin%20II%206.jpg
Tiny Mountain Cabin II		https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/Tiny%20Mountain%20Cabin%20II%207.jpg
Tiny Mountain Cabin II		https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/Tiny%20Mountain%20Cabin%20II%208.jpg
Tiny Mountain Cabin II		https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/Tiny%20Mountain%20Cabin%20II%209.jpg
Tiny Mountain Cabin II		https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/Tiny%20Mountain%20Cabin%20II%2010.jpg
Tiny Mountain Cabin II		https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/Tiny%20Mountain%20Cabin%20II%2011.jpg
Øklevegen 2	80818c3f-2573-4494-8ba3-b15a007ef02f	https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/Okslevegen%202.jpg
Øklevegen 2		https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/Okslevegen%202%201.jpg
Øklevegen 2		https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/Okslevegen%202%202.jpg
Øklevegen 2		https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/Okslevegen%202%203.jpg
Øklevegen 2		https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/Okslevegen%202%204.jpg
Øklevegen 2		https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/Okslevegen%202%205.jpg
Øklevegen 2		https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/Okslevegen%202%206.jpg
Øklevegen 2		https://qcjpfiwootjfqpxhtldm.supabase.co/storage/v1/object/public/bno-images/Okslevegen%202%207.jpg
